Title, Poet
Fararano Other Ass- (202-e) istance and Recovery, 401501.108.20136
ITSH, 401811.101.20335
202-e Enhancement (Programs), 401810.103.20335
202e Regular, 401810.102.20335
202e Related to work with Title II, 401660.103.20233
ACCESS, 401803.102.20330
ACCESS Cost Share, 366150.101.20330
Acute Malnutrition Treatment, 100523.101.40001
Adult Literacy, 100512.101.40001
Advocacy for good goverance mining project, 400221.101.10111
Ahavelo 202e Project, 401660.102.20233
Ahavelo Food Vouchers, 401661.101.20233
Ahavelo ITSH project, 401662.101.20233
Ahavelo Procurement, 401659.101.20233
ARC Replica, 400763.101.30295
Bishops Development, 100527.101.40001
Comoros Cyclone Kenneth Respo- se, 200125.101.40013
CYCLONE ELINE, 100504.101.40001
DFSA Madagascar, 350002.101.80071
DFSA Madagascar, 350015.101.80084
DFSA Partner Support, 100526.101.40001
Dinner3 Agriculture, 401658.101.20233
Dinner3 Agriculture, 401658.102.20233
Fararano Commodity Value, 401500.102.20136
Fararano Donated In-Kind, 401179.101.20017
Fararano Other Agr- (202-e) iculture, 401501.107.20136
Fararano Other Nut- (202-e) rition, 401503.105.20136
Fararano Other Str-(202e) enghten Microenterprise, 401502.102.20136
Fararano Plus 202e Agriculture, 401501.109.20136
Fararano Plus 202e Assistance- and Rec., 401504.101.20136
Fararano Plus 202e Nutrition, 401503.106.20136
Fararano Plus ITSH Agriculture, 401505.106.20136
Fararano Plus ITSH Assistance and Rec., 401507.101.20136
Fararano Plus ITSH Nutrition, 401506.102.20136
Fararano Project 202e, 401501.101.20136
Fararano Project 202e Agricul- ture, 401501.102.20136
Fararano Project 202e Assist- ance and Recovery, 401501.105.20136
Fararano Project 202e Capacity Building, 401501.106.20136
Fararano Project 202e Family Planning and Reproductive, 401503.103.20136
Fararano Project 202e Maternal and Child Health, 401503.102.20136
Fararano Project 202e Nature Resources and Biodiversity, 401501.104.20136
Fararano Project 202e Nutriti- on, 401503.101.20136
Fararano Project 202e Partici- pation, 401501.103.20136
Fararano Project 202e Strengh- ten Microenterprise, 401502.101.20136
Fararano Project 202e Water and Sanitation, 401503.104.20136
Fararano Project CS Assistance and Recovery, 366093.103.20136
Fararano Project CS Capacity Building, 366093.104.20136
Fararano Project CS Civic Par- ticipation, 366093.102.20136
Fararano Project CS Family Planning and Reproductive, 366094.102.20136
Fararano Project CS Maternal and Child Health, 366094.101.20136
Fararano Project CS Nature Resources and Biodiversity, 366093.105.20136
Fararano Project CS Nutrition, 366093.101.20136
Fararano Project CS Water and Sanitation, 366094.103.20136
Fararano Project ITSH, 401505.102.20136
Fararano Project ITSH Agricul- ture, 401505.103.20136
Fararano Project ITSH Civic Participation, 401505.104.20136
Fararano Project ITSH Nature Resources and Biodiversity, 401505.105.20136
Fararano Project ITSH Nutriti- on, 401506.101.20136
Fiarova Commodity, 401809.102.20335
Fiarova Ocean Freight, 401809.101.20335
Global Fund Positioning, 100522.101.40001
Green Climate CI, 400290.101.10180
HAVELO PLUS, 350016.101.80085
Integrated Education Phase II, 100516.101.40001
Integrated Education Phase II, 200625.101.40067
Lova EU Project, 400007.101.30007
LOVA: Livelihood Strengthening to Reduce Vulnerability in, 401738.102.20287
Madagascar - Innov Fund Community Led Total, 100521.101.40001
Madagascar Accrued Vacation Leave, 972656.101.40001
Madagascar Charity Water, 350081.101.80150
Madagascar Coffeelands, 100518.101.40001
Madagascar Coffeelands, 200527.101.40030
Madagascar Commodity Mcar FAP, 350003.101.80072
Madagascar DFSA Prepositioning, 100517.101.40001
Madagascar Emergency Fire Response, 100525.101.40001
Madagascar Exp Offset, 361025.101.40001
Madagascar Exp Offset, 361251.101.40090
Madagascar Exp Offset, 361358.101.40091
Madagascar Facility Cost Pool, 922656.101.40002
Madagascar GAVI 2019, 400764.101.30296
Madagascar General Fund, 100503.101.40001
Madagascar Learning Project, 100507.101.40001
Madagascar Marketing & Commun- ication, 100502.101.40001
Madagascar Matching Fixed Asst, 100531.101.40001
Madagascar NICRA Offsetting, 361025.102.40088
Madagascar Non Food Item Prepo, 100505.101.40001
Madagascar Payroll Default, 962656.101.40001
Madagascar Priv Grant Offset, 361141.101.40089
Madagascar Project Support Pool, 932656.101.40002
Madagascar Re-bagging, 330011.102.40103
Madagascar Response to Famine, 200124.101.40013
Madagascar School Feeding, 100508.101.40001
Madagascar Strategic Support T, 100503.102.40001
Madagascar Survey Fees, 330011.101.40103
Madagascar Suspense Account, 100535.101.40001
Madagascar Unallocated Direct Costs, 992656.101.40001
Madagascar Undeveloped Project, 100532.101.40001
Madagascar Undeveloped Project, 350093.101.80162
Madagascar Undeveloped Project, 350132.101.80210
Madagascar Vehicle Expense Pool, 912656.101.40002
Maharo 202e    Disaster, 401849.102.20365
Maharo 202e   Disaster, 401849.104.20365
Maharo 202e  E  Disaster, 401849.101.20365
Maharo 202e  P  Agri, 401848.101.20365
Maharo 202e  P Civil, 401851.102.20365
Maharo 202e  P Nutrition, 401850.102.20365
Maharo 202e A Civil, 401851.103.20365
Maharo 202e A Disaster, 401849.105.20365
Maharo 202e A MCH, 401850.104.20365
Maharo 202e A Nutrition, 401850.103.20365
Maharo 202e E Nutrition, 401851.101.20365
Maharo 202e P Disaster, 401849.103.20365
Maharo Commodity, 401854.102.20365
Maharo ITSH   Disaster, 401853.101.20365
Maharo ITSH Agri, 401852.101.20365
Maharo ITSH Civil, 401856.101.20365
Maharo ITSH MCH, 401855.102.20365
Maharo ITSH Nutrition, 401855.101.20365
Maharo Ocean Freight, 401854.101.20365
Mahasoa EU Project, 400008.101.30008
Natural Family Planning, 100524.101.40001
PAM Project Commodity, 400921.101.30426
PECMAM Cash FY19, 400922.101.30427
PECMAM Commodity FY19, 400923.101.30427
Project PECMAM Commodity, 401151.101.30619
Rano Wash Cost Share, 366141.101.20265
Rano Wash Project, 401707.102.20265
South Emergency Response, 100519.101.40001
South Poultry Fairs Project, 400455.101.10317
Spices, 100520.101.40001
Staff Education, 100530.101.40001
START Flood Responses, 400683.101.30220
START Forewarn Madagascar, 400585.101.30126
Taratra Fenerive Fastenopfer, 400222.101.10112
Taratra Phase III, 400174.101.10065
Villanova Partnership, 100528.101.40001
YES : Youth Entrepreneur, 100514.101.40001
Zara Rano, 400291.101.10181
